"Gender","Age","Marital_Status","Website_Activity","Browsed_Electronics_12Mo","Bought_Electronics_12Mo","Bought_Digital_Media_18Mo","Bought_Digital_Books","Payment_Method","User_ID","eReader_Adoption"
"M",34.0,"M","Regular","Yes","Yes","Yes","Yes","Monthly Billing",1550.0,"Innovator"
"M",52.0,"M","Regular","Yes","Yes","Yes","Yes","Credit Card",2314.0,"Innovator"
"F",41.0,"M","Regular","Yes","Yes","Yes","No","Website Account",7612.0,"Early Majority"
"M",53.0,"S","Regular","Yes","No","Yes","Yes","Monthly Billing",1164.0,"Early Adopter"
"M",54.0,"S","Seldom","Yes","Yes","Yes","Yes","Credit Card",7595.0,"Early Adopter"
"F",25.0,"M","Seldom","Yes","Yes","Yes","No","Bank Transfer",5671.0,"Early Majority"
"F",61.0,"S","Frequent","Yes","No","Yes","No","Bank Transfer",8332.0,"Early Adopter"
"F",26.0,"M","Regular","Yes","Yes","Yes","No","Bank Transfer",5953.0,"Innovator"
"M",55.0,"M","Frequent","Yes","No","Yes","No","Bank Transfer",4443.0,"Innovator"
"M",52.0,"M","Regular","Yes","Yes","No","No","Bank Transfer",3732.0,"Early Adopter"
"M",48.0,"S","Regular","Yes","Yes","No","Yes","Website Account",6715.0,"Early Adopter"
"F",44.0,"M","Regular","Yes","Yes","Yes","Yes","Monthly Billing",2490.0,"Early Adopter"
"F",65.0,"M","Regular","Yes","Yes","Yes","Yes","Bank Transfer",2955.0,"Innovator"
"F",59.0,"S","Seldom","Yes","Yes","Yes","No","Bank Transfer",6040.0,"Late Majority"
"F",39.0,"M","Seldom","Yes","No","No","No","Monthly Billing",2884.0,"Late Majority"
"F",35.0,"M","Seldom","Yes","No","Yes","Yes","Monthly Billing",1763.0,"Early Majority"
"F",46.0,"M","Seldom","Yes","Yes","Yes","Yes","Website Account",6669.0,"Early Majority"
"M",50.0,"S","Regular","Yes","No","Yes","No","Website Account",3325.0,"Early Majority"
"M",51.0,"S","Seldom","Yes","Yes","Yes","No","Bank Transfer",8964.0,"Late Majority"
"F",51.0,"S","Regular","Yes","Yes","No","No","Bank Transfer",9434.0,"Early Adopter"
"M",47.0,"M","Seldom","Yes","No","Yes","Yes","Website Account",5301.0,"Early Majority"
"F",57.0,"M","Seldom","Yes","No","Yes","Yes","Credit Card",7310.0,"Early Majority"
"M",44.0,"M","Seldom","No","Yes","Yes","Yes","Website Account",3387.0,"Early Adopter"
"M",53.0,"S","Seldom","Yes","Yes","Yes","Yes","Website Account",7036.0,"Early Adopter"
"M",42.0,"M","Seldom","No","No","Yes","No","Monthly Billing",6338.0,"Late Majority"
"M",55.0,"M","Regular","Yes","Yes","Yes","Yes","Website Account",1410.0,"Early Majority"
"M",59.0,"M","Seldom","Yes","Yes","Yes","No","Credit Card",4301.0,"Late Majority"
"F",54.0,"S","Seldom","Yes","No","Yes","Yes","Bank Transfer",2956.0,"Early Majority"
"F",51.0,"M","Regular","Yes","No","No","Yes","Credit Card",7673.0,"Innovator"
"F",48.0,"S","Seldom","Yes","Yes","Yes","Yes","Website Account",5243.0,"Early Majority"
"F",29.0,"S","Seldom","Yes","Yes","Yes","Yes","Monthly Billing",6877.0,"Early Adopter"
"F",55.0,"M","Regular","Yes","Yes","No","Yes","Bank Transfer",6871.0,"Innovator"
"F",37.0,"M","Seldom","Yes","No","No","Yes","Credit Card",8343.0,"Innovator"
"F",51.0,"S","Seldom","Yes","No","Yes","No","Bank Transfer",2661.0,"Late Majority"
"M",65.0,"S","Regular","Yes","Yes","Yes","No","Website Account",1314.0,"Late Majority"
"F",32.0,"S","Seldom","Yes","No","Yes","No","Monthly Billing",2848.0,"Late Majority"
"M",59.0,"S","Seldom","Yes","No","No","No","Monthly Billing",1129.0,"Late Majority"
"M",54.0,"S","Seldom","Yes","No","Yes","No","Bank Transfer",3211.0,"Late Majority"
"M",18.0,"S","Seldom","No","Yes","No","Yes","Website Account",1681.0,"Early Adopter"
"F",57.0,"S","Seldom","Yes","Yes","No","Yes","Bank Transfer",5368.0,"Early Adopter"
"M",22.0,"M","Seldom","Yes","No","Yes","Yes","Bank Transfer",7323.0,"Early Adopter"
"M",30.0,"M","Seldom","Yes","Yes","Yes","Yes","Credit Card",7039.0,"Early Adopter"
"M",61.0,"S","Seldom","Yes","Yes","Yes","No","Credit Card",4715.0,"Late Majority"
"M",41.0,"S","Seldom","Yes","No","Yes","No","Monthly Billing",7730.0,"Late Majority"
"M",58.0,"M","Seldom","Yes","No","Yes","No","Website Account",8559.0,"Late Majority"
"M",56.0,"S","Regular","Yes","Yes","Yes","Yes","Website Account",3532.0,"Early Adopter"
"M",24.0,"M","Regular","Yes","Yes","Yes","No","Website Account",8475.0,"Early Adopter"
"M",61.0,"S","Seldom","Yes","No","Yes","Yes","Website Account",9204.0,"Early Majority"
"M",43.0,"M","Seldom","Yes","No","Yes","Yes","Bank Transfer",1737.0,"Early Adopter"
"M",49.0,"S","Seldom","Yes","Yes","Yes","Yes","Bank Transfer",5435.0,"Early Majority"
"F",34.0,"M","Seldom","Yes","Yes","Yes","No","Website Account",2255.0,"Late Majority"
"M",23.0,"M","Seldom","Yes","No","No","Yes","Bank Transfer",8159.0,"Early Adopter"
"F",37.0,"M","Regular","Yes","No","Yes","No","Monthly Billing",7507.0,"Early Adopter"
"M",41.0,"S","Seldom","Yes","Yes","Yes","No","Website Account",4634.0,"Late Majority"
"M",34.0,"S","Seldom","Yes","No","Yes","No","Monthly Billing",8140.0,"Late Majority"
"M",61.0,"M","Seldom","Yes","Yes","Yes","Yes","Credit Card",4854.0,"Early Majority"
"F",63.0,"S","Regular","Yes","No","No","No","Bank Transfer",9726.0,"Early Majority"
"F",20.0,"S","Regular","No","No","Yes","No","Website Account",3834.0,"Early Adopter"
"M",21.0,"S","Seldom","Yes","No","No","Yes","Website Account",8860.0,"Early Adopter"
"F",38.0,"M","Seldom","Yes","Yes","Yes","No","Website Account",5568.0,"Late Majority"
"M",57.0,"M","Seldom","Yes","Yes","No","Yes","Monthly Billing",2966.0,"Early Majority"
"M",49.0,"M","Regular","Yes","No","Yes","Yes","Website Account",4629.0,"Innovator"
"F",30.0,"M","Regular","Yes","No","Yes","No","Bank Transfer",9220.0,"Early Adopter"
"F",34.0,"M","Seldom","Yes","Yes","Yes","Yes","Bank Transfer",6525.0,"Early Adopter"
"M",39.0,"M","Regular","Yes","No","Yes","No","Website Account",4145.0,"Early Majority"
"M",58.0,"M","Seldom","No","Yes","No","No","Credit Card",4614.0,"Late Majority"
"M",27.0,"M","Regular","Yes","No","No","No","Bank Transfer",3581.0,"Innovator"
"F",23.0,"M","Seldom","Yes","No","Yes","Yes","Bank Transfer",8010.0,"Innovator"
"M",60.0,"M","Seldom","Yes","Yes","Yes","Yes","Bank Transfer",4639.0,"Early Adopter"
"M",63.0,"M","Seldom","Yes","Yes","Yes","No","Website Account",8324.0,"Late Majority"
"F",44.0,"M","Seldom","Yes","No","Yes","No","Bank Transfer",4616.0,"Late Majority"
"F",53.0,"S","Seldom","Yes","Yes","Yes","No","Monthly Billing",7273.0,"Late Majority"
"M",59.0,"S","Seldom","Yes","Yes","Yes","Yes","Website Account",7573.0,"Early Adopter"
"M",22.0,"S","Regular","Yes","Yes","No","No","Credit Card",8991.0,"Innovator"
"M",31.0,"S","Seldom","Yes","No","Yes","Yes","Monthly Billing",5205.0,"Early Adopter"
"F",23.0,"M","Seldom","Yes","Yes","Yes","Yes","Website Account",3814.0,"Early Adopter"
"M",51.0,"S","Frequent","Yes","Yes","No","No","Credit Card",8232.0,"Innovator"
"F",32.0,"M","Seldom","Yes","Yes","Yes","No","Bank Transfer",2987.0,"Late Majority"
"F",47.0,"M","Seldom","Yes","No","Yes","Yes","Website Account",9288.0,"Early Majority"
"M",60.0,"M","Frequent","No","Yes","Yes","No","Website Account",3022.0,"Early Majority"
"F",54.0,"S","Seldom","Yes","Yes","Yes","No","Monthly Billing",3733.0,"Late Majority"
"M",63.0,"S","Seldom","Yes","No","No","No","Bank Transfer",9981.0,"Late Majority"
"M",41.0,"S","Seldom","No","No","No","No","Monthly Billing",1709.0,"Late Majority"
"M",61.0,"M","Seldom","Yes","No","Yes","No","Credit Card",5938.0,"Late Majority"
"M",61.0,"M","Seldom","Yes","Yes","Yes","No","Website Account",8331.0,"Late Majority"
"F",35.0,"S","Frequent","Yes","No","No","No","Bank Transfer",7631.0,"Innovator"
"F",56.0,"M","Frequent","Yes","Yes","Yes","No","Website Account",1159.0,"Early Adopter"
"F",57.0,"M","Frequent","Yes","Yes","Yes","No","Monthly Billing",7918.0,"Early Adopter"
"M",31.0,"M","Seldom","Yes","Yes","Yes","No","Bank Transfer",8437.0,"Late Majority"
"M",56.0,"M","Seldom","Yes","No","Yes","Yes","Website Account",8180.0,"Early Majority"
"M",20.0,"M","Seldom","Yes","No","No","No","Website Account",4148.0,"Early Majority"
"F",63.0,"S","Seldom","Yes","No","Yes","No","Website Account",4438.0,"Late Majority"
"M",34.0,"M","Seldom","Yes","No","Yes","Yes","Monthly Billing",7065.0,"Early Majority"
"M",19.0,"S","Seldom","Yes","Yes","Yes","Yes","Bank Transfer",9723.0,"Early Adopter"
"M",60.0,"S","Seldom","Yes","Yes","No","No","Bank Transfer",9939.0,"Late Majority"
"F",50.0,"S","Seldom","Yes","Yes","Yes","No","Bank Transfer",1210.0,"Late Majority"
"M",48.0,"S","Regular","Yes","No","No","No","Monthly Billing",8591.0,"Early Majority"
"F",21.0,"S","Regular","Yes","No","No","No","Website Account",3384.0,"Early Adopter"
"M",20.0,"M","Seldom","Yes","No","Yes","No","Monthly Billing",6117.0,"Early Majority"
"F",42.0,"M","Seldom","Yes","No","Yes","Yes","Website Account",7683.0,"Early Adopter"
"M",57.0,"M","Seldom","Yes","No","Yes","Yes","Credit Card",5759.0,"Early Majority"
"F",43.0,"S","Frequent","Yes","Yes","Yes","No","Monthly Billing",6260.0,"Early Adopter"
"M",37.0,"M","Seldom","Yes","Yes","No","No","Bank Transfer",4921.0,"Late Majority"
"M",26.0,"S","Seldom","Yes","No","No","No","Credit Card",3736.0,"Late Majority"
"F",26.0,"S","Seldom","No","No","No","Yes","Website Account",9458.0,"Early Adopter"
"M",46.0,"S","Seldom","No","Yes","Yes","No","Bank Transfer",1779.0,"Late Majority"
"F",62.0,"S","Frequent","Yes","No","No","No","Website Account",4633.0,"Early Majority"
"M",54.0,"S","Regular","No","Yes","Yes","Yes","Monthly Billing",8916.0,"Early Adopter"
"F",19.0,"M","Seldom","Yes","Yes","Yes","No","Credit Card",2542.0,"Early Majority"
"M",51.0,"M","Seldom","Yes","Yes","No","Yes","Monthly Billing",3530.0,"Early Adopter"
"F",33.0,"M","Regular","Yes","No","Yes","No","Website Account",5465.0,"Early Adopter"
"M",55.0,"M","Seldom","Yes","Yes","Yes","No","Bank Transfer",7465.0,"Late Majority"
"M",25.0,"M","Regular","Yes","Yes","Yes","Yes","Website Account",7371.0,"Innovator"
"M",19.0,"S","Regular","Yes","No","Yes","No","Bank Transfer",6377.0,"Early Adopter"
"F",25.0,"M","Seldom","Yes","No","Yes","Yes","Credit Card",7915.0,"Early Majority"
"F",29.0,"M","Seldom","Yes","No","No","No","Bank Transfer",8580.0,"Late Majority"
"F",52.0,"S","Seldom","Yes","No","No","No","Website Account",2769.0,"Late Majority"
"M",24.0,"M","Seldom","No","Yes","Yes","Yes","Bank Transfer",8545.0,"Early Majority"
"M",66.0,"M","Regular","Yes","No","Yes","Yes","Bank Transfer",9598.0,"Early Majority"
"M",17.0,"M","Seldom","Yes","Yes","Yes","No","Website Account",9096.0,"Early Majority"
"M",51.0,"M","Frequent","Yes","Yes","Yes","No","Website Account",7264.0,"Early Adopter"
"M",30.0,"S","Seldom","Yes","Yes","No","No","Bank Transfer",4824.0,"Late Majority"
"M",60.0,"M","Seldom","Yes","No","Yes","No","Website Account",1743.0,"Late Majority"
"M",45.0,"M","Seldom","Yes","Yes","Yes","Yes","Bank Transfer",6546.0,"Early Adopter"
"F",65.0,"M","Seldom","Yes","Yes","Yes","No","Bank Transfer",6865.0,"Late Majority"
"M",17.0,"M","Seldom","Yes","Yes","Yes","Yes","Bank Transfer",2308.0,"Early Adopter"
"M",17.0,"M","Seldom","Yes","Yes","Yes","Yes","Bank Transfer",1302.0,"Innovator"
"F",38.0,"M","Seldom","Yes","No","Yes","Yes","Bank Transfer",8989.0,"Early Adopter"
"M",49.0,"S","Seldom","No","Yes","Yes","Yes","Website Account",6016.0,"Early Adopter"
"M",30.0,"S","Seldom","Yes","Yes","Yes","Yes","Credit Card",3616.0,"Early Majority"
"M",27.0,"S","Seldom","Yes","Yes","Yes","Yes","Bank Transfer",9673.0,"Early Adopter"
"F",36.0,"S","Seldom","Yes","No","Yes","Yes","Monthly Billing",2488.0,"Early Adopter"
"F",57.0,"S","Regular","Yes","No","Yes","Yes","Bank Transfer",1890.0,"Innovator"
"M",38.0,"S","Frequent","Yes","No","Yes","No","Credit Card",2968.0,"Innovator"
"F",37.0,"S","Seldom","Yes","Yes","Yes","No","Bank Transfer",2840.0,"Late Majority"
"F",22.0,"M","Regular","Yes","Yes","No","Yes","Credit Card",5882.0,"Innovator"
"F",53.0,"M","Seldom","Yes","No","Yes","No","Monthly Billing",7123.0,"Late Majority"
"M",62.0,"M","Regular","Yes","Yes","Yes","No","Bank Transfer",4981.0,"Early Majority"
"M",52.0,"S","Frequent","Yes","Yes","Yes","No","Credit Card",2525.0,"Early Adopter"
"F",45.0,"M","Regular","Yes","Yes","No","Yes","Bank Transfer",6530.0,"Early Adopter"
"M",59.0,"M","Regular","Yes","Yes","Yes","No","Credit Card",5711.0,"Early Majority"
"F",35.0,"M","Seldom","Yes","No","Yes","Yes","Bank Transfer",2966.0,"Early Majority"
"M",33.0,"M","Seldom","No","No","Yes","No","Monthly Billing",1070.0,"Late Majority"
"M",62.0,"M","Seldom","Yes","Yes","No","No","Credit Card",4148.0,"Late Majority"
"F",31.0,"S","Seldom","Yes","Yes","Yes","No","Bank Transfer",8123.0,"Late Majority"
"M",52.0,"S","Seldom","Yes","Yes","Yes","Yes","Monthly Billing",9559.0,"Early Majority"
"F",27.0,"M","Seldom","Yes","Yes","Yes","Yes","Monthly Billing",5880.0,"Early Majority"
"M",60.0,"M","Frequent","Yes","No","Yes","No","Website Account",6637.0,"Early Majority"
"M",42.0,"S","Seldom","Yes","No","Yes","No","Bank Transfer",4382.0,"Late Majority"
"F",36.0,"S","Seldom","Yes","No","Yes","Yes","Bank Transfer",8250.0,"Early Adopter"
"F",26.0,"M","Seldom","Yes","No","Yes","No","Website Account",5898.0,"Late Majority"
"M",34.0,"M","Regular","Yes","No","No","No","Website Account",5857.0,"Early Adopter"
"F",44.0,"M","Seldom","Yes","Yes","Yes","No","Monthly Billing",9764.0,"Late Majority"
"M",66.0,"M","Seldom","Yes","Yes","Yes","Yes","Monthly Billing",8493.0,"Early Majority"
"M",37.0,"S","Seldom","Yes","Yes","Yes","Yes","Monthly Billing",9781.0,"Early Adopter"
"F",64.0,"S","Seldom","Yes","Yes","Yes","Yes","Bank Transfer",4943.0,"Early Adopter"
"F",64.0,"S","Frequent","Yes","No","Yes","Yes","Monthly Billing",4526.0,"Innovator"
"M",20.0,"M","Regular","No","Yes","Yes","No","Website Account",8062.0,"Early Adopter"
"M",61.0,"S","Regular","Yes","No","Yes","No","Website Account",6775.0,"Early Majority"
"M",20.0,"M","Seldom","Yes","Yes","Yes","No","Bank Transfer",7324.0,"Early Majority"
"F",57.0,"M","Frequent","Yes","No","Yes","Yes","Monthly Billing",6049.0,"Innovator"
"M",41.0,"S","Seldom","Yes","Yes","Yes","No","Credit Card",8283.0,"Late Majority"
"M",23.0,"S","Seldom","Yes","No","Yes","Yes","Website Account",3565.0,"Early Adopter"
"F",54.0,"M","Frequent","Yes","Yes","Yes","No","Bank Transfer",2270.0,"Early Adopter"
"F",45.0,"M","Seldom","Yes","No","Yes","Yes","Website Account",4896.0,"Early Majority"
"F",32.0,"S","Regular","Yes","Yes","No","Yes","Credit Card",4620.0,"Innovator"
"M",51.0,"S","Frequent","Yes","No","Yes","Yes","Website Account",1845.0,"Innovator"
"M",41.0,"M","Regular","Yes","Yes","Yes","No","Credit Card",5999.0,"Early Majority"
"M",35.0,"M","Seldom","Yes","No","Yes","Yes","Website Account",9287.0,"Early Adopter"
"F",28.0,"M","Frequent","Yes","Yes","Yes","No","Website Account",7571.0,"Innovator"
"M",36.0,"S","Seldom","Yes","No","No","No","Website Account",3586.0,"Late Majority"
"M",20.0,"S","Seldom","Yes","Yes","Yes","No","Bank Transfer",5938.0,"Early Majority"
"M",21.0,"S","Regular","Yes","Yes","Yes","No","Bank Transfer",1690.0,"Early Adopter"
"F",29.0,"M","Seldom","No","No","Yes","Yes","Bank Transfer",5446.0,"Early Adopter"
"F",47.0,"M","Seldom","Yes","No","Yes","Yes","Website Account",4532.0,"Early Majority"
"F",46.0,"M","Seldom","Yes","Yes","Yes","Yes","Website Account",7674.0,"Early Majority"
"F",37.0,"M","Regular","Yes","No","No","Yes","Monthly Billing",4866.0,"Innovator"
"F",41.0,"M","Seldom","Yes","Yes","Yes","Yes","Credit Card",1367.0,"Early Majority"
"F",46.0,"S","Frequent","Yes","No","No","No","Website Account",1881.0,"Early Adopter"
"F",47.0,"S","Seldom","Yes","Yes","Yes","Yes","Website Account",9440.0,"Early Majority"
"F",37.0,"M","Seldom","Yes","No","Yes","Yes","Website Account",1045.0,"Early Adopter"
"M",33.0,"S","Regular","Yes","Yes","Yes","Yes","Credit Card",6033.0,"Innovator"
"F",23.0,"S","Seldom","Yes","Yes","Yes","Yes","Website Account",1297.0,"Early Majority"
"M",35.0,"M","Frequent","Yes","No","Yes","No","Bank Transfer",6536.0,"Innovator"
"M",19.0,"M","Regular","Yes","Yes","Yes","No","Bank Transfer",9051.0,"Early Adopter"
"F",39.0,"M","Seldom","Yes","No","Yes","No","Monthly Billing",6581.0,"Late Majority"
"F",44.0,"M","Seldom","Yes","Yes","No","No","Website Account",6452.0,"Late Majority"
"M",55.0,"M","Seldom","Yes","Yes","No","No","Credit Card",9397.0,"Late Majority"
"F",26.0,"M","Regular","Yes","Yes","Yes","No","Website Account",4635.0,"Early Adopter"
"M",64.0,"M","Seldom","Yes","Yes","Yes","No","Bank Transfer",1689.0,"Late Majority"
"F",21.0,"M","Seldom","Yes","Yes","Yes","Yes","Website Account",2421.0,"Innovator"
"F",23.0,"M","Seldom","Yes","No","Yes","Yes","Credit Card",1906.0,"Early Adopter"
"M",54.0,"M","Seldom","Yes","Yes","Yes","No","Bank Transfer",5177.0,"Late Majority"
"M",16.0,"S","Seldom","Yes","No","Yes","No","Bank Transfer",3479.0,"Early Majority"
"M",40.0,"S","Regular","Yes","Yes","Yes","No","Bank Transfer",4304.0,"Early Majority"
"F",64.0,"M","Seldom","Yes","Yes","Yes","Yes","Credit Card",5997.0,"Late Majority"
"M",44.0,"S","Seldom","Yes","Yes","Yes","Yes","Bank Transfer",3280.0,"Early Majority"
"F",22.0,"M","Seldom","Yes","No","Yes","No","Website Account",1341.0,"Early Majority"
"M",59.0,"M","Seldom","Yes","No","Yes","No","Credit Card",1850.0,"Late Majority"
"F",51.0,"M","Frequent","Yes","No","No","Yes","Website Account",6053.0,"Innovator"
"M",62.0,"M","Seldom","Yes","No","No","Yes","Bank Transfer",3309.0,"Early Adopter"
"M",41.0,"M","Regular","No","No","Yes","Yes","Monthly Billing",9745.0,"Early Adopter"
"F",64.0,"M","Seldom","Yes","No","Yes","No","Monthly Billing",1620.0,"Late Majority"
"M",61.0,"M","Frequent","Yes","No","No","No","Credit Card",5408.0,"Early Majority"
"F",40.0,"S","Seldom","Yes","Yes","Yes","No","Website Account",2569.0,"Late Majority"
"M",19.0,"S","Seldom","Yes","No","Yes","Yes","Bank Transfer",3982.0,"Early Adopter"
"F",57.0,"S","Seldom","Yes","No","Yes","Yes","Bank Transfer",5599.0,"Early Majority"
"M",47.0,"M","Seldom","Yes","No","Yes","Yes","Monthly Billing",8336.0,"Early Adopter"
"F",33.0,"S","Regular","Yes","No","No","Yes","Monthly Billing",5219.0,"Innovator"
"M",20.0,"M","Seldom","Yes","No","No","No","Monthly Billing",8476.0,"Early Majority"
"M",42.0,"M","Seldom","Yes","No","No","Yes","Website Account",3965.0,"Early Majority"
"M",56.0,"M","Seldom","Yes","Yes","Yes","No","Website Account",5970.0,"Late Majority"
"M",23.0,"M","Seldom","Yes","Yes","No","Yes","Credit Card",5744.0,"Early Adopter"
"F",39.0,"M","Regular","No","No","Yes","No","Website Account",9764.0,"Early Majority"
"F",40.0,"M","Seldom","Yes","No","Yes","No","Credit Card",3347.0,"Late Majority"
"M",57.0,"M","Frequent","Yes","Yes","Yes","Yes","Website Account",8755.0,"Innovator"
"F",36.0,"S","Regular","Yes","Yes","Yes","Yes","Bank Transfer",3863.0,"Early Adopter"
"F",34.0,"M","Seldom","Yes","Yes","Yes","No","Bank Transfer",8360.0,"Late Majority"
"F",38.0,"M","Seldom","Yes","Yes","Yes","No","Website Account",7230.0,"Late Majority"
"F",21.0,"M","Seldom","Yes","Yes","Yes","No","Website Account",4063.0,"Early Majority"
"M",29.0,"S","Regular","Yes","Yes","Yes","Yes","Website Account",5802.0,"Innovator"
"M",52.0,"M","Seldom","Yes","No","No","Yes","Bank Transfer",6223.0,"Early Majority"
"F",17.0,"M","Regular","Yes","No","Yes","No","Credit Card",4505.0,"Early Adopter"
"M",58.0,"M","Frequent","Yes","Yes","No","No","Website Account",4490.0,"Early Adopter"
"F",44.0,"S","Seldom","Yes","No","Yes","No","Credit Card",1036.0,"Late Majority"
"M",53.0,"M","Seldom","Yes","No","Yes","No","Credit Card",8834.0,"Late Majority"
"M",43.0,"M","Seldom","Yes","Yes","Yes","Yes","Bank Transfer",7052.0,"Early Majority"
"F",59.0,"M","Seldom","Yes","No","Yes","No","Bank Transfer",7870.0,"Late Majority"
"M",41.0,"M","Seldom","Yes","Yes","Yes","Yes","Credit Card",2876.0,"Early Majority"
"M",26.0,"S","Seldom","No","No","Yes","Yes","Website Account",4972.0,"Early Majority"
"F",34.0,"S","Regular","Yes","Yes","Yes","Yes","Monthly Billing",2080.0,"Innovator"
"M",55.0,"S","Seldom","Yes","Yes","Yes","Yes","Website Account",9516.0,"Late Majority"
"F",55.0,"M","Seldom","Yes","Yes","Yes","Yes","Credit Card",4625.0,"Early Adopter"
"M",23.0,"M","Seldom","Yes","Yes","Yes","No","Credit Card",2167.0,"Early Majority"
"F",36.0,"M","Seldom","Yes","Yes","No","No","Website Account",5078.0,"Late Majority"
"M",52.0,"M","Seldom","Yes","No","Yes","Yes","Website Account",7871.0,"Early Majority"
"M",58.0,"M","Seldom","Yes","No","Yes","No","Credit Card",6931.0,"Late Majority"
"M",57.0,"M","Seldom","Yes","Yes","Yes","No","Website Account",9820.0,"Late Majority"
"F",62.0,"M","Frequent","Yes","No","No","No","Website Account",1815.0,"Early Majority"
"M",64.0,"M","Seldom","Yes","No","Yes","Yes","Bank Transfer",5259.0,"Late Majority"
"F",47.0,"S","Seldom","Yes","No","Yes","Yes","Bank Transfer",8693.0,"Early Adopter"
"M",57.0,"S","Regular","Yes","No","Yes","Yes","Website Account",4847.0,"Innovator"
"M",32.0,"M","Regular","Yes","Yes","Yes","Yes","Monthly Billing",1701.0,"Innovator"
"M",43.0,"M","Seldom","Yes","No","Yes","No","Monthly Billing",3453.0,"Late Majority"
"M",21.0,"M","Seldom","Yes","Yes","Yes","No","Website Account",5167.0,"Early Majority"
"F",42.0,"S","Frequent","Yes","Yes","Yes","No","Credit Card",9332.0,"Early Adopter"
"F",28.0,"M","Seldom","Yes","No","Yes","No","Credit Card",8322.0,"Late Majority"
"F",31.0,"S","Regular","Yes","No","Yes","Yes","Bank Transfer",8830.0,"Early Adopter"
"F",30.0,"M","Seldom","Yes","Yes","Yes","No","Website Account",8092.0,"Late Majority"
"F",20.0,"S","Seldom","Yes","Yes","No","No","Website Account",3081.0,"Early Majority"
"M",35.0,"S","Seldom","Yes","No","Yes","No","Bank Transfer",8451.0,"Late Majority"
"F",32.0,"M","Frequent","Yes","Yes","No","No","Monthly Billing",3255.0,"Innovator"
"M",53.0,"S","Seldom","Yes","No","Yes","No","Website Account",9478.0,"Early Adopter"
"F",34.0,"S","Seldom","Yes","No","Yes","No","Bank Transfer",9111.0,"Early Adopter"
"F",48.0,"S","Seldom","Yes","Yes","No","Yes","Monthly Billing",3807.0,"Late Majority"
"M",65.0,"S","Regular","Yes","No","No","Yes","Credit Card",5550.0,"Early Majority"
"F",53.0,"S","Regular","Yes","Yes","No","No","Bank Transfer",7905.0,"Early Adopter"
"M",64.0,"S","Seldom","Yes","No","Yes","Yes","Bank Transfer",8395.0,"Late Majority"
"F",50.0,"M","Regular","Yes","Yes","No","No","Bank Transfer",2609.0,"Innovator"
"M",43.0,"S","Seldom","Yes","Yes","Yes","No","Website Account",8760.0,"Early Majority"
"M",33.0,"M","Seldom","Yes","No","Yes","No","Monthly Billing",7101.0,"Innovator"
"F",53.0,"S","Seldom","Yes","No","Yes","No","Website Account",2301.0,"Early Adopter"
"M",35.0,"M","Regular","Yes","Yes","Yes","No","Bank Transfer",7526.0,"Late Majority"
"M",50.0,"M","Seldom","Yes","No","No","Yes","Credit Card",7695.0,"Innovator"
"F",29.0,"S","Seldom","Yes","No","Yes","No","Website Account",7258.0,"Innovator"
"M",34.0,"S","Regular","Yes","No","Yes","Yes","Website Account",3454.0,"Late Majority"
"M",63.0,"M","Seldom","Yes","Yes","Yes","Yes","Website Account",7352.0,"Early Adopter"
"F",40.0,"M","Seldom","Yes","No","Yes","No","Bank Transfer",5397.0,"Early Adopter"
"F",26.0,"M","Seldom","Yes","Yes","Yes","No","Bank Transfer",2556.0,"Early Majority"
"M",28.0,"M","Seldom","Yes","No","Yes","Yes","Website Account",3741.0,"Late Majority"
"M",54.0,"S","Regular","Yes","Yes","Yes","No","Credit Card",8884.0,"Early Adopter"
"F",61.0,"M","Regular","Yes","Yes","Yes","No","Monthly Billing",9870.0,"Early Majority"
"M",29.0,"S","Seldom","Yes","No","Yes","No","Website Account",3429.0,"Late Majority"
"F",63.0,"M","Seldom","Yes","No","Yes","No","Website Account",9130.0,"Late Majority"
"F",51.0,"M","Seldom","Yes","Yes","Yes","No","Bank Transfer",8860.0,"Late Majority"
"F",64.0,"M","Regular","Yes","No","No","No","Website Account",5016.0,"Innovator"
"F",49.0,"S","Seldom","Yes","Yes","Yes","Yes","Bank Transfer",6950.0,"Early Adopter"
"M",34.0,"S","Seldom","Yes","No","Yes","Yes","Bank Transfer",7565.0,"Early Adopter"
"M",34.0,"M","Seldom","Yes","No","Yes","Yes","Website Account",4686.0,"Late Majority"
"F",28.0,"M","Seldom","Yes","No","Yes","Yes","Bank Transfer",8122.0,"Early Adopter"
"M",45.0,"S","Regular","Yes","Yes","Yes","No","Website Account",9455.0,"Early Adopter"
"M",57.0,"S","Seldom","Yes","No","Yes","No","Bank Transfer",4625.0,"Early Majority"
"F",61.0,"M","Seldom","Yes","Yes","Yes","No","Website Account",2524.0,"Early Majority"
"M",64.0,"M","Seldom","Yes","No","No","No","Bank Transfer",8508.0,"Early Majority"
"M",66.0,"M","Regular","Yes","Yes","Yes","No","Bank Transfer",8191.0,"Late Majority"
"M",23.0,"M","Regular","Yes","No","Yes","No","Website Account",7415.0,"Innovator"
"M",43.0,"S","Seldom","Yes","Yes","Yes","Yes","Bank Transfer",3721.0,"Early Majority"
"M",29.0,"M","Regular","Yes","No","Yes","No","Bank Transfer",8486.0,"Late Majority"
"F",46.0,"S","Regular","Yes","Yes","Yes","No","Bank Transfer",4314.0,"Innovator"
"M",46.0,"S","Seldom","Yes","No","Yes","Yes","Website Account",4388.0,"Late Majority"
